Date,Category,Description,Amount
2023-01-05,Groceries,Whole Foods Market,85.32
2023-01-07,Dining,Restaurant Dinner,64.95
2023-01-10,Utilities,Electric Bill,112.44
2023-01-15,Shopping,Amazon Purchase,35.27
2023-01-18,Transportation,Gas Station,48.75
2023-01-22,Entertainment,Movie Tickets,24.50
2023-01-25,Groceries,Trader Joe's,56.78
2023-02-01,Utilities,Water Bill,67.90
2023-02-05,Healthcare,Pharmacy,22.16
2023-02-10,Dining,Lunch with Friends,31.25
2023-02-15,Shopping,Clothing Store,95.42
2023-02-20,Transportation,Uber Ride,18.75
2023-02-25,Entertainment,Concert Tickets,125.00
2023-03-01,Housing,Rent Payment,1500.00
2023-03-05,Groceries,Supermarket,92.67
2023-03-10,Utilities,Internet Service,75.00
2023-03-15,Healthcare,Doctor Visit Copay,30.00
2023-03-20,Dining,Coffee Shop,8.75
2023-03-25,Shopping,Home Depot,145.89
2023-03-30,Transportation,Parking Fee,15.00